species
Blasia_pusilla
Lunularia_cruciata
Marchantia_polymorpha
Riccia_fluitans
Reboulia_hemisphaerica
Marchantia_foliacea
Conocephalum_conicum
Haplomitrium_gibbsiae
Fossombronia_pusilla
Pellia_endiviifolia
Pellia_epiphylla
Riccardia_multifida
Riccardia_latifrons
Aneura_pinguis
Cryptothallus_mirabilis
Metzgeria_conjugata
Metzgeria_furcata
Metzgeria_pubescens
Metzgeria_temperata
Porella_pinnata
Porella_cordaeana
Porella_platyphylla
Porella_obtusata
Porella_arboris-vitae
Frullania_dilatata
Frullania_microphylla
Frullania_fragilifolia
Frullania_teneriffae
Frullania_tamarisci
Radula_aquilegia
Radula_complanata
Jubula_hutchinsiae
Lejeunea_lamacerina
Lejeunea_cavifolia
Mylia_taylorii
Blepharostoma_trichophyllum
Herbertus_borealis
Lepidozia_reptans
Kurzia_trichoclados
Bazzania_tricrenata
Bazzania_trilobata
Lophocolea_heterophylla
Lophocolea_bidentata
Chiloscyphus_pallescens
Pedinophyllum_interruptum
Plagiochila_spinulosa
Plagiochila_punctata
Plagiochila_asplenioides
Plagiochila_porelloides
Cephaloziella_divaricata
Odontoschisma_denudatum
Nowellia_curvifolia
Lophozia_ventricosa
Diplophyllum_albicans
Diplophyllum_obtusifolium
Anastrophyllum_minutum
Jungermannia_exsertifolia
Barbilophozia_barbata
Barbilophozia_hatcheri
Calypogeia_arguta
Harpanthus_flotovianus
Harpanthus_scutatus
Jungermannia_obovata
Nardia_scalaris
Gymnomitrion_concinnatum
Marsupella_emarginata
Geocalyx_graveolens
Jungermannia_pumila
Jungermannia_atrovirens
Saccogyna_viticulosa
Calypogeia_fissa
Calypogeia_integristipula
Calypogeia_neesiana
Polytrichum_commune
Sphagnum_contortum
Sphagnum_rubellum
Sphagnum_squarrosum
Sphagnum_fuscum
Sphagnum_palustre
Sphagnum_recurvum
Sphagnum_fallax
Sphagnum_cuspidatum
Entosthodon_laevis
Physcomitrella_patens
Calymperes_palisotii
Goniomitrium_acuminatum
Dicranum_scoparium
Philonotis_fontana
Plagiothecium_curvifolium
Sanionia_uncinata
Brachythecium_salebrosum
Brachythecium_acuminatum
Brachythecium_rutabulum
Hylocomium_splendens
Pleurozium_schreberi
Hypnum_cupressiforme
Palustriella_falcata
Anomodon_viticulosus
Jaegerina_scariosa
Hamatocaulis_vernicosus
Phaeoceros_laevis
Anthoceros_formosae
Anthoceros_punctatus
Phlegmariurus_phyllanthum
Huperzia_drummondii
Huperzia_australiana
Huperzia_selago
Huperzia_lucidula
Lycopodiella_inundata
Lycopodiella_cernua
Lycopodium_casuarinoides
Lycopodium_clavatum
Lycopodium_deuterodensum
Lycopodium_volubile
Austrolycopodium_fastigiatum
Diphasium_scariosum
Lycopodium_annotinum
Lycopodium_obscurum
Diphasiastrum_complanatum
Diphasiastrum_alpinum
Isoetes_schweinfurthii
Cephaloceraton_histrix
Isoetes_echinospora
Isoetes_lacustris
Selaginella_selaginoides
Selaginella_kraussiana
Selaginella_remotifolia
Selaginella_pygmaea
Selaginella_uliginosa
Selaginella_gracillima
Selaginella_sanguinolenta
Selaginella_helvetica
Selaginella_frondosa
Selaginella_longipinna
Selaginella_moellendorffii
Selaginella_tamariscina
Selaginella_biformis
Marattia_douglasii
Angiopteris_wangii
Angiopteris_hokouensis
Angiopteris_caudatiformis
Angiopteris_evecta
Tmesipteris_truncata
Psilotum_nudum
Tmesipteris_tannensis
Tmesipteris_obliqua
Tmesipteris_elongata
Ophioglossum_lusitanicum
Botrychium_virginianum
Botrychium_lanuginosum
Botrychium_multifidum
Botrychium_schaffneri
Botrychium_matricariifolium
Botrychium_lunaria
Ophioglossum_nudicaule
Ophioglossum_costatum
Ophioglossum_pendulum
Ophioglossum_petiolatum
Ophioglossum_lusitanicum_ssp._coriaceum
Ophioglossum_vulgatum
Ophioglossum_reticulatum
Equisetum_diffusum
Equisetum_fluviatile
Equisetum_telmateia
Equisetum_palustre
Equisetum_sylvaticum
Equisetum_pratense
Equisetum_arvense
Equisetum_scirpoides
Equisetum_variegatum
Equisetum_ramosissimum
Equisetum_hyemale
Equisetum_laevigatum
Equisetum_giganteum
Osmunda_claytoniana
Osmunda_vachellii
Osmunda_japonica
Osmunda_regalis
Todea_barbara
Leptopteris_fraseri
Leptopteris_hymenophylloides
Leptopteris_superba
Dicranopteris_linearis
Dicranopteris_pedata
Dicranopteris_gigantea
Diplopterygium_glaucoides
Gleichenia_japonica
Diplopterygium_glaucum
Sticherus_laevigatus
Sticherus_cunninghamii
Gleichenia_dicarpa
Gleichenia_microphylla
Trichomanes_diversifrons
Trichomanes_pinnatum
Cephalomanes_javanicum
Abrodictyum_rigidum
Trichomanes_borbonicum
Polyphlebium_venosum
Hemiphlebium_reptans
Didymoglossum_erosum
Crepidomanes_latealatum
Crepidomanes_auriculatum
Vandenboschia_collariata
Hymenophyllum_pulcherrimum
Hymenophyllum_poolii
Hymenophyllum_flabellatum
Hymenophyllum_scabrum
Hymenophyllum_villosum
Hymenophyllum_sanguinolentum
Hymenophyllum_dilatatum
Hymenophyllum_demissum
Hymenophyllum_flexuosum
Hymenophyllum_australe
Hymenophyllum_minimum
Hymenophyllum_darwinii
Hymenophyllum_polyanthos
Hymenophyllum_sibthorpioides
Hymenophyllum_tunbrigense
Hymenophyllum_peltatum
Hymenophyllum_revolutum
Hymenophyllum_cupressiforme
Hymenophyllum_pumilum
Schizaea_fistulosa
Anemia_phyllitidis
Schizaea_pectinata
Schizaea_dichotoma
Lygodium_microphyllum
Lygodium_circinatum
Lygodium_kerstenii
Lygodium_japonicum
Cibotium_barometz
Cibotium_chamissoi
Cibotium_glaucum
Calochlaena_dubia
Dicksonia_fibrosia
Balantium_antarcticum
Dicksonia_baudouinii
Dicksonia_squarrosa
Cyathea_leichhardtiana
Sphaeropteris_cooperi
Cyathea_contaminans
Sphaeropteris_brunoniana
Cyathea_alata
Cyathea_karsteniana
Cyathea_senilis
Cyathea_spinulosa
Cyathea_australis
Alsophila_cuspidata
Cyathea_colensoi
Salvinia_natans
Salvinia_adnata
Azolla_nilotica
Azolla_pinnata
Azolla_filiculoides
Azolla_mexicana
Azolla_microphylla
Azolla_caroliniana
Calamistrum_globuliferum
Pilularia_novae-hollandiae
Marsilea_mutica
Marsilea_quadrifolia
Marsilea_drummondii
Marsilea_minuta
Marsilea_capensis
Marsilea_coromandelina
Marsilea_villifolia
Marsilea_vera
Marsilea_aegyptiaca
Marsilea_ephippiocarpa
Marsilea_farinosa
Marsilea_macrocarpa
Saccoloma_elegans
Saccoloma_inaequale
Lindsaea_odorata
Lindsaea_javanensis
Lindsaea_ensifolia
Cryptogramma_crispa
Pityrogramma_calomelanos
Anogramma_leptophylla
Pteris_platyzomopsis
Pteris_vittata
Onychium_japonicum
Pteris_tremula
Pteris_semipinnata
Pteris_setulosocostulata
Pteris_ensiformis
Pteris_excelsa
Pteris_cretica
Pteris_multifida
Pteris_berteroana
Pteris_microptera
Cheilanthes_lanosa
Pellaea_falcata
Pellaea_rotundifolia
Pellaea_boivinii
Pellaea_dura
Cheilanthes_argentea
Pellaea_calomelanos
Cheilanthes_multifida
Cheilanthes_hirta
Cheilanthes_eckloniana
Cheilanthes_sieberi
Cheilanthes_lasiophylla
Cheilanthes_distans
Anetium_citrifolium
Vittaria_isoetifolia
Vittaria_lineata
Vittaria_stipitata
Hecistopteris_pumila
Haplopteris_volkensii
Vittaria_ensiformis
Vittaria_flexuosa
Adiantum_raddianum
Adiantum_chilense
Adiantum_hispidulum
Adiantum_diaphanum
Adiantum_pedatum
Adiantum_obliquum
Adiantum_latifolium
Adiantum_capillus-veneris
